"datetime";"hour";"depth";"T";"S";"Month";"Year";"year.month"
1998-06-17;07:00:00;0;20.251;37.777;"06";"1998";"1998-06"
1998-06-17;07:00:00;50;14.605;37.895;"06";"1998";"1998-06"
1998-06-24;07:00:00;0;22.381;37.744;"06";"1998";"1998-06"
1998-06-24;07:00:00;50;15.158;37.88;"06";"1998";"1998-06"
1998-07-01;07:00:00;0;24.132;37.797;"07";"1998";"1998-07"
1998-07-01;07:00:00;50;15.227;37.879;"07";"1998";"1998-07"
1998-07-08;07:00:00;0;22.398;37.87;"07";"1998";"1998-07"
1998-07-08;07:00:00;50;14.603;37.913;"07";"1998";"1998-07"
1998-07-15;07:00:00;0;23.777;37.984;"07";"1998";"1998-07"
1998-07-15;07:00:00;50;16.097;37.88;"07";"1998";"1998-07"
1998-07-22;07:00:00;0;24.76;37.998;"07";"1998";"1998-07"
1998-07-22;07:00:00;50;15.087;37.907;"07";"1998";"1998-07"
1998-07-29;07:00:00;0;25.483;38.034;"07";"1998";"1998-07"
1998-07-29;07:00:00;50;15.675;37.903;"07";"1998";"1998-07"
1998-08-05;07:00:00;0;24.71;38.016;"08";"1998";"1998-08"
1998-08-05;07:00:00;50;15.955;37.945;"08";"1998";"1998-08"
1998-08-12;07:00:00;0;25.386;38.082;"08";"1998";"1998-08"
1998-08-12;07:00:00;50;15.174;37.936;"08";"1998";"1998-08"
