"datetime";"depth";"temperature";"salinity"
2001-06-13;"50";16.969;37.987
2001-06-20;"0";21.018;37.988
2001-06-20;"50";15.425;38.065
2001-06-27;"0";23.597;37.965
2001-06-27;"50";14.946;38.058
2001-07-04;"0";24.409;37.966
2001-07-04;"50";15.163;38.053
2001-07-11;"0";23.343;38.013
2001-07-11;"50";15.954;38.017
2001-07-18;"0";23.816;38.097
2001-07-18;"50";16.077;38.036
2001-07-25;"0";23.962;38.012
2001-07-25;"50";15.261;38.072
2001-08-01;"0";25.432;38.088
2001-08-01;"50";15.717;38.039
2001-08-08;"0";24.525;38.091
2001-08-08;"50";14.943;38.046
2001-08-21;"0";24.772;38.18
2001-08-21;"50";15.798;37.953
2001-08-30;"0";26.586;38.222
2001-08-30;"50";15.475;37.986
2001-09-05;"0";21.456;38.161
2001-09-05;"50";14.267;38.038
2001-09-21;"0";20.826;38.222
2001-09-21;"50";16.998;38.03
2001-09-26;"0";20.969;38.204
2001-09-26;"50";17.86;38.042
2001-10-03;"0";21.039;38.182
2001-10-03;"50";18.485;38.129
2001-10-10;"0";21.179;38.148
2001-10-10;"50";20.603;38.213
2001-10-17;"0";20.965;38.12
2001-10-17;"50";17.84;38.124
2001-10-24;"0";20.716;38.147
2001-10-24;"50";19.223;38.1
2001-10-31;"0";23.316;38.006
2001-10-31;"50";15.931;38.023
2001-11-07;"0";19.767;38.102
2001-11-07;"50";19.577;38.088
2001-11-14;"0";18.195;38.033
2001-11-14;"50";18.238;38.092
2001-11-21;"0";17.219;38.051
2001-11-21;"50";17.05;38.058
2001-11-28;"0";16.91;38.046
2001-11-28;"50";16.929;38.056
2001-12-05;"0";16.793;38.083
2001-12-05;"50";16.796;38.084
2001-12-12;"0";16.374;38.088
2001-12-12;"50";15.808;38.065
2001-12-19;"0";15.371;38.074
2001-12-19;"50";15.408;38.073
2001-12-26;"0";14.922;38.099
2001-12-26;"50";14.947;38.101
2002-01-02;"0";14.393;38.125
2002-01-02;"50";14.405;38.131
2002-01-09;"0";14.026;38.168
2002-01-09;"50";14.038;38.167
2002-01-16;"0";13.829;38.192
2002-01-16;"50";13.867;38.192
2002-01-23;"0";13.712;38.209
2002-01-23;"50";13.625;38.195
2002-01-30;"0";13.6;38.172
2002-01-30;"50";13.57;38.176
2002-02-07;"0";13.345;37.985
2002-02-07;"50";13.382;38.09
2002-02-13;"0";13.327;38.017
2002-02-13;"50";13.363;38.072
2002-02-20;"0";13.074;37.899
2002-02-20;"50";13.387;38.097
2002-03-01;"0";13.122;38.069
2002-03-01;"50";13.31;38.102
2002-03-08;"0";13.644;38.027
2002-03-08;"50";13.24;38.039
2002-04-04;"0";14.224;38.003
2002-04-04;"50";13.788;38.004
2002-04-10;"0";13.822;37.982
2002-04-10;"50";13.836;37.979
2002-04-18;"0";14.612;37.94
2002-04-18;"50";13.726;38
2002-04-24;"0";15.063;37.852
2002-04-24;"50";13.731;38
2002-04-30;"0";15.797;37.932
2002-04-30;"50";14.555;37.952
2002-05-07;"0";16.185;37.528
2002-05-07;"50";15.68;37.838
2002-05-15;"0";18.028;37.33
2002-05-15;"50";14.28;37.983
2002-05-22;"0";19.718;37.439
2002-05-22;"50";14.329;38.007
2002-05-28;"0";18.612;37.658
2002-05-28;"50";14.648;37.966
2002-06-05;"0";20.171;37.668
2002-06-05;"50";15.408;37.955
2002-06-12;"0";19.982;37.633
2002-06-12;"50";15.66;37.887
